"dimension","dim_type","cur_count","unique_count","null_count","zero_count","null_ratio","zero_ratio","cat_val","cat_ratio_bf_m0","cat_ratio_bf_m1","cat_ratio_bf_m2","cat_ratio_diff_bf_m1","cat_ratio_diff_bf_m2","mean_bf_m0","mean_bf_m1","mean_bf_m2","mean_ratio_diff_bf_m1","mean_ratio_diff_bf_m2","std_bf_m0","std_bf_m1","std_bf_m2","std_ratio_diff_bf_m1","std_ratio_diff_bf_m2","status_bf_m0","status_bf_m1","status_bf_m2","alarm_yn","dt"
"prev_mfact_nm","categorical","9593885","114","0",,,,"삼성전자(주)","0.711","0.71","0.708","0.001","0.004",,,,,,,,,,,"success","success","success","N","2020-07"
"equip_chg_mth_cnt","numerical","19426080","357","0","7881435","0.406","0.406",,,,,,,"21.058","20.825","20.61","0.011","0.021","23.858","23.458","23.153","0.017","0.03","success","success","success","N","2020-07"
"family_moa_share_data_in_gb","numerical","1777602","102","0","0","0.0","0.0",,,,,,,"22.043","22.077","22.116","-0.002","-0.003","7.786","7.804","7.831","-0.002","-0.006","success","success","success","N","2020-07"
"voc_rcv_prtn_cnt_bf_m0","numerical","17164642","938","0","0","0.0","0.0",,,,,,,"27.272","39.189","37.011","-0.437","-0.357","26.415","38.873","36.702","-0.472","-0.389","success","success","success","N","2020-07"
"mbr_discount_amt_11st","numerical","253101","2555","0","8584","0.034","0.034",,,,,,,"3688.199","4310.189","4277.502","-0.169","-0.16","3045.739","4107.597","4075.723","-0.349","-0.338","success","success","success","N","2020-07"
"tw_visit_days_roaming_list","numerical","6017","8","0","0","0.0","0.0",,,,,,,"1.157","1.195","1.168","-0.033","-0.01","0.529","0.696","0.626","-0.316","-0.183","success","success","success","N","2020-07"
"avg_subscription_period","numerical","19426080","29420","0","0","0.0","0.0",,,,,,,"-2900.846","-2982.138","-3049.606","-0.028","-0.051","5099.434","5122.848","5141.384","-0.005","-0.008","success","success","success","N","2020-07"
"tw_visit_days_unbill","numerical","124648","17","0","0","0.0","0.0",,,,,,,"1.381","1.512","1.531","-0.095","-0.109","0.853","1.104","1.131","-0.294","-0.326","success","success","success","N","2020-07"
"mbr_discount_cnt_coffee","numerical","50167","17","0","0","0.0","0.0",,,,,,,"1.223","1.42","1.476","-0.161","-0.207","0.941","1.617","1.64","-0.718","-0.743","success","success","success","N","2020-07"
"voc_rcv_cnt_tax","numerical","450281","62","0","304232","0.676","0.676",,,,,,,"0.794","0.525","0.714","0.339","0.101","1.825","1.955","2.076","-0.071","-0.138","success","success","success","N","2020-07"
"mbr_discount_amt_pizza","numerical","66634","2665","0","0","0.0","0.0",,,,,,,"12467.127","13691.938","15297.79","-0.098","-0.227","14135.882","16584.632","14697.73","-0.173","-0.04","success","success","success","N","2020-07"
"location_weekend_visit_gu","numerical","17974777","79","0","264177","0.015","0.015",,,,,,,"5.314","7.906","8.31","-0.488","-0.564","5.309","7.484","8.125","-0.41","-0.53","success","success","success","N","2020-07"
"rem_allot_amt","numerical","14974233","476861","0","7285375","0.487","0.487",,,,,,,"210824.904","220220.382",,"-0.045",,"350210.387","359285.74",,"-0.026",,"success","success",,"N","2020-07"
